_id.$oid,cityName,nickName,user_id,movieId,gender,content
5d492c92b701b97668b50c6a,武汉,美约会,1076107223,1211270,暂无,配音👍 👍 👍 ，带入感强，编剧很不错哦，很少看动画片的我也巴巴看完，国产动画精品
5d492c92b701b97668b50c6b,银川,妄自,1076104263,1211270,1,不错，给大人看的电影  命由自己不由天
5d492c92b701b97668b50c6c,无锡,bJK726077384,1076098239,1211270,2,差评，为什么要买眼镜看电影，不是那种回收的眼镜，两个小孩看完，还要付30块钱眼镜钱
5d492c92b701b97668b50c6e,广元,　დ　,1076061802,1211270,1,"
太乙真人那个是认真的吗
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
"
5d492c92b701b97668b50c6f,定陶区,ALJ643840634,1076104258,1211270,暂无,这个电影真的很棒！太乙真人很搞笑，小哪吒也可爱的很！敖丙也是帅到爆！有爆笑，有感动，有纯真，国漫也很好看嘛！
5d492c92b701b97668b50c70,鄢陵,告辞,1076105386,1211270,1,支持国产。。
5d492c92b701b97668b50c71,朝阳,旧?街?老?人,1076103744,1211270,1,完美很好好好
5d492c92b701b97668b50c72,温州,喔喔喔喔,1076104254,1211270,暂无,"炸裂，真的是超燃的国漫吧。
就是哪吒和敖丙的成年对手戏略少些。"
5d492c92b701b97668b50c73,诸暨,萌,1076095395,1211270,暂无,好好看，哭了3次
5d492c92b701b97668b50c74,西双版纳,双哥,1076105378,1211270,暂无,情节～画面超一流！谁说国产的不好！支持国产！
5d492c92b701b97668b50c75,大连,阿桂,1076103738,1211270,暂无,妥妥五星好评
5d492c92b701b97668b50c76,普兰店,A~昱慶-㊣,1076103736,1211270,1,感人那！谁说这个哪吒不帅的
5d492c92b701b97668b50c77,巴彦淖尔,余温🍂,1076102821,1211270,暂无,电影完美，就是一个人
5d492c92b701b97668b50c78,北京,uYZ641408547,1076103732,1211270,暂无,超级好看，我命由我不由天！为国产动漫点赞👍
5d492c92b701b97668b50c79,文山,冰火,1076105366,1211270,暂无,好看，对得起票价
5d492c92b701b97668b50c7a,成都,流泪的鱼,1076097262,1211270,2,好看，女儿超喜欢哪吒。命运还是撑握在自己手中
5d492c92b701b97668b50c7b,北京,laughcontain7,1076102818,1211270,2,一改往日对哪吒传奇的故事印象，尤其是龙王三太子，从反派人物一下子扶正了，造型更是帅！整部剧的剧集都很热血，哪吒卖起萌来不要太可爱，萌萌哒～
5d492c92b701b97668b50c7d,临安,hfX647060502,1076105365,1211270,暂无,好😊😀😀😀
5d492c92b701b97668b50c7e,佛山,Loyal丨陌生人,1076102815,1211270,2,很不错的一部电影，哪吒本性不坏
5d492c92b701b97668b50c7f,闽侯县,花落,1076082219,1211270,1,很热情，看了非常舒服
5d492c92b701b97668b50c80,抚顺,༺ི小姜,1076105357,1211270,暂无,居然把大人看到流泪的动画片，不知道说什么好了😁 
5d492c92b701b97668b50c81,即墨,RNk132770549,1076104245,1211270,暂无,真心好看，感动
5d492c92b701b97668b50c82,哈尔滨,lxdt°Θ°,1076104243,1211270,2,感动到哭死，
5d492c92b701b97668b50c83,安庆,zeus,1076103719,1211270,暂无,"超好看的，想再看几遍
"
5d492c92b701b97668b50c84,阿克苏,温柔了呐,1076095386,1211270,暂无,挺好看的，期望姜子牙
5d492c92b701b97668b50c85,成都,十一,1076103718,1211270,暂无,很好看，有泪点也有笑点
5d492c92b701b97668b50c86,仙桃,爱像你我,1073437713,1211270,暂无,特别好看的一部电影！有一些致敬经典的元素在里面！希望有第二部！
5d492c92b701b97668b50c87,成都,低落,1076102809,1211270,1,视觉效果不错
5d492c92b701b97668b50c88,乐山,哇塞姑娘@,1076098207,1211270,2,"超赞！熟悉的题材熟悉的角色拍得全过程让我一会儿哈哈大笑一会儿又感动到流泪！电影完了都不想走还想看！
我到底是魔是神我自己说了算！"
5d492c92b701b97668b50c89,济南,红尘亦薄凉丶,1076074348,1211270,1,国产的崛起，赞。
5d492c92b701b97668b50c8a,北京,cLaLa,1076104235,1211270,2,一定要去看，太好看了，哪吒和敖丙都好帅
5d493af537ae18cf081f14ef,湘潭,冯琅……,1076123048,1211270,1,好看，哪吒的性格很饱满，对原著的改变也在合理范围之内。可谓是中国动漫的一大崛起之作吧
5d493af537ae18cf081f14f0,深圳,susan,1076121402,1211270,暂无,好看，特别喜欢
5d493af537ae18cf081f14f1,贵阳,循森堡,1076123045,1211270,暂无,泪点笑点也在，不知道给差评的是怀揣着什么另类心理
5d493af537ae18cf081f14f2,佛山,~姑娘贵姓？°,1076120593,1211270,2,很完美，电影的特效非常棒，剧情跌宕起伏，引人入胜，值得一看哦！
5d493af537ae18cf081f14f3,乌鲁木齐,何处望神州1426,1076119786,1211270,暂无,国产动画近几年的水准真的是迎头赶上，从前两年的大圣归来，到前段时间的白蛇缘起，到如今的哪吒。我们的文化里有太多能做成优秀作品的传说，我希望以后人们听到动画不会再觉得这只是孩子看的东西。也希望国产动画能越做越好，拥有更美好的明天。期待下一部姜子牙会是更加精彩的作品。
5d493af537ae18cf081f14f4,武汉,yx,1076113303,1211270,暂无,真的是超好看
5d493af537ae18cf081f14f5,灌南,李现真帅,1076120589,1211270,2,后面真的太感人了哪吒真的好帅
5d493af537ae18cf081f14f6,中山,L,1076122219,1211270,2,喜欢到炸~强烈安利
5d493af537ae18cf081f14f7,哈尔滨,Igk249765356,1076110406,1211270,暂无,一个动画片给我这个大老爷们看的哇哇哭 太好看了简直
5d493af537ae18cf081f14f8,安庆,happinessday88,1076112288,1211270,暂无,很好看，带孩子一起看的，大人小孩都适合。
5d493af537ae18cf081f14f9,沈阳,万睡,1076122212,1211270,暂无,说实话，不足的地方还是有，但是在这里说也像是鸡蛋挑骨头，忽略不计啦。总体很感动，有笑点有泪点，老少皆宜，从彩蛋可看出，封神宇宙初步成型，可以期待。在这里说，从《白蛇:缘起》的开山，到如今《哪吒》的成功，国内动漫人的付出有目共睹，相信今后也会越来越好，国漫雄起！加油！
5d493af537ae18cf081f14fa,唐山,魔芋,1076119771,1211270,暂无,女儿超级喜欢看
5d493af537ae18cf081f14fb,乐山,aUg675923543,1076123037,1211270,暂无,有笑点也有泪点。
5d493af537ae18cf081f14fc,许昌,明,1076119781,1211270,2,非常不错，值得推荐
5d493af537ae18cf081f14fd,台州,洪杰d先生,1076122203,1211270,1,很不错的电影，值得推荐
5d493b0607b26cd0e5d024d2,杭州,123lilizz,1076120603,1211270,暂无,感人搞笑😄😄😉
5d493b0607b26cd0e5d024d3,大连,伟大的国王大人。,1076121407,1211270,1,挺好看的 但是感觉没别人说的那么惊艳
5d493b0607b26cd0e5d024d4,太原,清幽,1076119797,1211270,2,制作效果好，好看，我儿子看了还要看
5d493b0607b26cd0e5d024d5,红河,gkf954361721,1076112299,1211270,暂无,可以  差不多
5d493b0607b26cd0e5d024d6,常州,W478177398,1076112298,1211270,暂无,非常好看，值得推荐。
5d493b0607b26cd0e5d024d7,肇庆,宿命孤歡,1076123050,1211270,2,非常好看。  
5d493b0607b26cd0e5d024d8,东莞,林锋,1076093296,1211270,1,还不错，小孩子喜欢
5d493b0607b26cd0e5d024d9,成都,yangxin鑫,1076122224,1211270,暂无,看得我很tm激情  国产电影越来越好了  特效也贼**带感  我是真的很支持这部电影  我要让我全家来看  票房应该也会很好  饺子  恭喜你发财了  。祝你早生贵子  明天我还来看   d***   看的我回味十足  尿都没哦  憋了很久  不想错过每一个细节  哈哈哈哈  等于自杀  你们是七月最好看的电影   。。。  不吹牛逼了  哥打球了  d***
5d493b0607b26cd0e5d024da,上海,Dmk964100452,1076112297,1211270,暂无,好看极了！！
5d493b4eb070cfef54096ed5,青岛,刘宁,1076074922,1211270,2,好久没看到这么好看的电影了，国产电影近些年的发展已经非常棒了，希望国产动画电影也能越来越好。
5d493b4eb070cfef54096ed6,罗平县,自嘲,1075893352,1211270,1,特别好看的国产电影，国产顶尖动漫之一吧
5d493b4eb070cfef54096ed7,驻马店,A001勤勤内衣批发金三角73.74号,1076123086,1211270,暂无,女儿特别喜欢看   挺不错的
5d493b4eb070cfef54096ed8,抚州,银越,1076110433,1211270,2,剧情流畅，人物性格塑造的也很立体。不同于以前的哪吒，让人眼前一亮。
5d493b4eb070cfef54096ed9,漯河,End,1076121437,1211270,2,"我命由我不由天
















"
